Name,Type,Position,Lat,Long
APER MAHA1,gps,S12 58.053 E49 07.150,,
APER MAHA2,gps,S12 58.054 E49 07.153,,
APER MAHA3,gps,S12 58.055 E49 07.150,,
ANV 24,gps,S12 54.326 E49 11.337,,
ANV 11,gps,S12 54.462 E49 11.903,,
ANV 12,gps,S12 54.466 E49 11.897,,
ANV13,gps,S12 54.430 E49 11.302,,
ANV14,gps,S12 54.441 E49 11.296,,
ANV15,gps,S12 54.447 E49 11.294,,
ANV16,gps,S12 54.393 E49 11.340,,
ANV17,gps,S12 54.383 E49 11.342,,
ANV18,gps,S12 54.370 E49 11.344,,
ANV19,gps,S12 54.371 E49 11.338,,
ANV20,gps,S12 54.369 E49 11.339,,
ANV21,gps,S12 54.385 E49 11.299,,
ANV22,gps,S12 54.352 E49 11.328,,
ANV23,gps,S12 54.328 E49 11.335,,
AP C10 ANV,gps,S12 54.233 E49 11.992,,
AP C11 ANV,gps,S12 54.404 E49 11.318,,
AP C2 ANV,gps,S12 54.280 E49 11.612,,
AP C3 ANV,gps,S12 54.150 E49 10.983,,
AP C4 ANV,gps,S12 54.123 E49 10.967,,
AP C5 ANV,gps,S12 54.035 E49 10.850,,
AP C6 ANV,gps,S12 54.202 E49 10.763,,
AP C7 ANV,gps,S12 54.162 E49 11.783,,
AP C8 ANV,gps,S12 54.120 E49 11.803,,
AP C9 ANV,gps,S12 53.940 E49 12.270,,
ABMAV 01,gps,S12 52.834 E49 12.290,,
ABMAV 03,gps,S12 51.514 E49 13.944,,
ABMAV 04,gps,S12 51.497 E49 13.961,,
ABMAV 05,gps,S12 51.514 E49 13.968,,
ABMAV 06,gps,S12 52.693 E49 12.525,,
ABMAV 07,gps,S12 52.687 E49 12.515,,
ABMAV 08,gps,S12 52.692 E49 12.515,,
ABM 49,gps,,-12.86918,49.22703
ABM 51,gps,,-12.86949,49.22709
ABM 52,gps,,-12.86947,49.22714
ABM 53,gps,,-12.86976,49.22739
ABM 54,gps,,-12.86974,49.22752
ABM 55,gps,,-12.86961,49.22759
A PERDAR 1,gps,,-13.28425,49.68601
A PERDAR 2,gps,,-13.28422,49.68604
A PERDAR 4,gps,,-13.28421,49.68604
A PERDAR 5,gps,,-13.28449,49.68323
A PERDAR 6,gps,,-13.28447,49.68276
ABM 09,gps,,-12.86332,49.22648
ABM 19,gps,,-12.86493,49.22586
ABM 22,gps,,-12.89473,49.20358
ABM 23,gps,,-12.89476,49.20344
ABM 24,gps,,-12.89203,49.20389
ABM 25,gps,,-12.89192,49.20354
ABM 26,gps,,-12.89175,49.204
ABM 32,gps,,-12.88553,49.20631
ABM 33,gps,,-12.88473,49.2068
ABM 34,gps,,-12.88472,49.2069
ABM 35,gps,,-12.88433,49.20696
ABM 36,gps,,-12.88424,49.20693
ABM 37,gps,,-12.88428,49.2069
ABM 38,gps,,-12.88425,49.20674
ABM 39,gps,,-12.88412,49.20655
ABM 40,gps,,-12.8837,49.20659
ABM 41,gps,,-12.88343,49.20623
ABM 42,gps,,-12.88353,49.20619
ABM 43,gps,,-12.88357,49.20616
ABM 45,gps,,-12.88364,49.20627
ABM 46,gps,,-12.88361,49.20624
ABM 47,gps,,-12.88357,49.20603
ABM 48,gps,,-12.91266,49.19975
ABM 49,gps,,-12.91246,49.19989
ABM 50,gps,,-12.90781,49.19803
ABM 51,gps,,-12.90782,49.19819
ABM 52,gps,,-12.9078,49.19805
ABM 26,gps,,-12.89176,49.20397
AP ABM 01,gps,,-12.86253,49.22686
AP ABM 02,gps,,-12.86237,49.22656
AP ABM 03,gps,,-12.86248,49.2268
AP ABM 04,gps,,-12.86919,49.22703
AP ABM 05,gps,,-12.86947,49.22714
AP ABM 06,gps,,-12.86975,49.22739
AP ABM 12,gps,,-12.86923,49.22694
AP ABM 10,gps,,-12.86964,49.22762
AP ABM 11,gps,,-12.8695,49.22708
AP ABM 7,gps,,-12.86958,49.22688
AP ABM 9,gps,,-12.86965,49.22761
MOTA 01,gps,,-12.48912,49.17148
MOTA 02,gps,,-12.48873,49.17126
MOTA 03,gps,,-12.48793,49.1714
MOTA 04,gps,,-12.48807,49.17108
MOTA 05,gps,,-12.48803,49.17129
MOTA 06,gps,,-12.48803,49.17129
MOTA 07,gps,,-12.48666,49.171
MOTA 1,gps,,-12.40786,49.14583
MOTA 2,gps,,-12.44272,49.14228
ADARAIN 01,gps,S13 17.069 E49 40.973,,
ADARAIN 02,gps,S13 17.130 E49 40.970,,
ADARAIN 03,gps,S13 17.062 E49 40.978,,
ADARAIN 04,gps,S13 17.058 E49 41.163,,
ADARAIN 05,gps,S13 17.054 E49 41.165,,
ADARAIN 06,gps,S13 17.052 E49 41.167,,
