Species,Tree-ID,Year,Date,Lat,Long,Source
A_madagascariensis,MADA1,2015,28-Apr-09:13:06,-12.34225,49.34185,Ghislain-Mario
A_madagascariensis,MADA2,2015,28-Apr-09:16:04,-12.342255,49.341891,Ghislain-Mario
A_madagascariensis,MADA3,2015,28-Apr-09:21:23,-12.342134,49.341951,Ghislain-Mario
A_madagascariensis,MADA4,2015,28-Apr-11:24:49,-12.331347,49.351675,Ghislain-Mario
A_madagascariensis,MADA5,2015,28-Apr-11:29:14,-12.330684,49.351761,Ghislain-Mario
A_madagascariensis,MADA6,2015,28-Apr-11:30:53,-12.330651,49.351917,Ghislain-Mario
A_madagascariensis,MADA7,2015,28-Apr-12:43:14,-12.329293,49.368215,Ghislain-Mario
A_madagascariensis,MADA8,2015,28-Apr-12:47:43,-12.32961,49.368472,Ghislain-Mario
A_madagascariensis,MADA9,2015,28-Apr-3:15:54,-12.326196,49.38033,Ghislain-Mario
A_madagascariensis,MADA10,2015,28-Apr-13:24:22,-12.327404,49.381663,Ghislain-Mario
