"Baobab species"	"SDAp (km??)"	"RCP"	"Year"	"Dispersal"	"SDAf (km??)"	"Change SDApf (%)"	"Current altitude mean (m)"	"Future altitude mean (m)"	"Altitude range shift (%)"
"1"	"A. digitata"	47872	45	2050	"full"	73630	54	76	71	-5
"2"	"A. digitata"	47872	45	2050	"zero"	34879	-27	76	54	-22
"3"	"A. digitata"	47872	45	2080	"full"	91692	92	76	100	24
"4"	"A. digitata"	47872	45	2080	"zero"	38283	-20	76	68	-8
"5"	"A. digitata"	47872	85	2050	"full"	103295	116	76	103	27
"6"	"A. digitata"	47872	85	2050	"zero"	43211	-10	76	75	-1
"7"	"A. digitata"	47872	85	2080	"full"	194447	306	76	195	119
"8"	"A. digitata"	47872	85	2080	"zero"	47017	-2	76	77	1
"11"	"A. grandidieri"	27651	45	2050	"full"	77990	182	135	264	129
"21"	"A. grandidieri"	27651	45	2050	"zero"	27651	0	135	135	0
"31"	"A. grandidieri"	27651	45	2080	"full"	101727	268	135	285	150
"41"	"A. grandidieri"	27651	45	2080	"zero"	27651	0	135	135	0
"51"	"A. grandidieri"	27651	85	2050	"full"	112030	305	135	287	152
"61"	"A. grandidieri"	27651	85	2050	"zero"	27651	0	135	135	0
"71"	"A. grandidieri"	27651	85	2080	"full"	118907	330	135	365	230
"81"	"A. grandidieri"	27651	85	2080	"zero"	27591	0	135	135	0
"12"	"A. madagascariensis"	92311	45	2050	"full"	123323	34	105	172	67
"22"	"A. madagascariensis"	92311	45	2050	"zero"	87771	-5	105	108	3
"32"	"A. madagascariensis"	92311	45	2080	"full"	123913	34	105	184	79
"42"	"A. madagascariensis"	92311	45	2080	"zero"	85023	-8	105	108	3
"52"	"A. madagascariensis"	92311	85	2050	"full"	119702	30	105	186	81
"62"	"A. madagascariensis"	92311	85	2050	"zero"	81539	-12	105	110	5
"72"	"A. madagascariensis"	92311	85	2080	"full"	62881	-32	105	263	158
"82"	"A. madagascariensis"	92311	85	2080	"zero"	26878	-71	105	102	-3
"13"	"A. perrieri"	14872	45	2050	"full"	1371	-91	377	533	156
"23"	"A. perrieri"	14872	45	2050	"zero"	1371	-91	377	533	156
"33"	"A. perrieri"	14872	45	2080	"full"	427	-97	377	762	385
"43"	"A. perrieri"	14872	45	2080	"zero"	427	-97	377	762	385
"53"	"A. perrieri"	14872	85	2050	"full"	1305	-91	377	556	179
"63"	"A. perrieri"	14872	85	2050	"zero"	1305	-91	377	556	179
"73"	"A. perrieri"	14872	85	2080	"full"	0	-100	377	NA	NA
"83"	"A. perrieri"	14872	85	2080	"zero"	0	-100	377	NA	NA
"14"	"A. rubrostipa"	74194	45	2050	"full"	41365	-44	77	231	154
"24"	"A. rubrostipa"	74194	45	2050	"zero"	17768	-76	77	73	-4
"34"	"A. rubrostipa"	74194	45	2080	"full"	53367	-28	77	283	206
"44"	"A. rubrostipa"	74194	45	2080	"zero"	15636	-79	77	77	0
"54"	"A. rubrostipa"	74194	85	2050	"full"	55404	-25	77	298	221
"64"	"A. rubrostipa"	74194	85	2050	"zero"	15284	-79	77	78	1
"74"	"A. rubrostipa"	74194	85	2080	"full"	44833	-40	77	428	351
"84"	"A. rubrostipa"	74194	85	2080	"zero"	11488	-85	77	82	5
"15"	"A. suarezensis"	3347	45	2050	"full"	13	-100	194	322	128
"25"	"A. suarezensis"	3347	45	2050	"zero"	13	-100	194	322	128
"35"	"A. suarezensis"	3347	45	2080	"full"	100	-97	194	393	199
"45"	"A. suarezensis"	3347	45	2080	"zero"	100	-97	194	393	199
"55"	"A. suarezensis"	3347	85	2050	"full"	0	-100	194	NA	NA
"65"	"A. suarezensis"	3347	85	2050	"zero"	0	-100	194	NA	NA
"75"	"A. suarezensis"	3347	85	2080	"full"	0	-100	194	NA	NA
"85"	"A. suarezensis"	3347	85	2080	"zero"	0	-100	194	NA	NA
"16"	"A. za"	170625	45	2050	"full"	291778	71	265	288	23
"26"	"A. za"	170625	45	2050	"zero"	170622	0	265	265	0
"36"	"A. za"	170625	45	2080	"full"	304482	78	265	294	29
"46"	"A. za"	170625	45	2080	"zero"	170622	0	265	265	0
"56"	"A. za"	170625	85	2050	"full"	297852	75	265	281	16
"66"	"A. za"	170625	85	2050	"zero"	170622	0	265	265	0
"76"	"A. za"	170625	85	2080	"full"	372134	118	265	365	100
"86"	"A. za"	170625	85	2080	"zero"	166254	-3	265	271	6
